cnn,dim_reductor,classifier,valid_acc
VGG16,none,LR,0.7611049224747856
VGG16,NMF_32,LR,0.7122354357970797
VGG16,NMF_64,LR,0.7226780069245823
VGG16,NMF_128,LR,0.7248848411862111
VGG16,KPCA_32,LR,0.7166325455366552
VGG16,KPCA_64,LR,0.7314616889959356
VGG16,KPCA_128,LR,0.7484886346530182
InceptionResNetV2,none,LR,0.7572587686286316
InceptionResNetV2,NMF_32,LR,0.655131717597471
InceptionResNetV2,NMF_64,LR,0.6930152039741081
InceptionResNetV2,NMF_128,LR,0.7193858196597923
InceptionResNetV2,KPCA_32,LR,0.6826042450699985
InceptionResNetV2,KPCA_64,LR,0.7100511816950175
InceptionResNetV2,KPCA_128,LR,0.7166310401926841
MobileNetV2,none,LR,0.8627156405238597
MobileNetV2,NMF_32,LR,0.8434984193888304
MobileNetV2,NMF_64,LR,0.851729640222791
MobileNetV2,NMF_128,LR,0.8500933313262081
MobileNetV2,KPCA_32,LR,0.8226223091976517
MobileNetV2,KPCA_64,LR,0.8215249134427216
MobileNetV2,KPCA_128,LR,0.8292111997591449
VGG16,none,linearSVM,0.7177419840433539
VGG16,NMF_32,linearSVM,0.6474379045611922
VGG16,NMF_64,linearSVM,0.6644558181544482
VGG16,NMF_128,linearSVM,0.6721436098148427
VGG16,KPCA_32,linearSVM,0.6501670931807919
VGG16,KPCA_64,linearSVM,0.6770871594159266
VGG16,KPCA_128,linearSVM,0.7105825681168148
InceptionResNetV2,none,linearSVM,0.7380581062772844
InceptionResNetV2,NMF_32,linearSVM,0.6024055396658137
InceptionResNetV2,NMF_64,linearSVM,0.6403040794821616
InceptionResNetV2,NMF_128,linearSVM,0.6710763209393347
InceptionResNetV2,KPCA_32,linearSVM,0.6040478699382809
InceptionResNetV2,KPCA_64,linearSVM,0.646877916603944
InceptionResNetV2,KPCA_128,linearSVM,0.695194942044257
MobileNetV2,none,linearSVM,0.8555742887249738
MobileNetV2,NMF_32,linearSVM,0.7863811530934818
MobileNetV2,NMF_64,linearSVM,0.8083456269757641
MobileNetV2,NMF_128,linearSVM,0.8237227156405238
MobileNetV2,KPCA_32,linearSVM,0.7924236037934668
MobileNetV2,KPCA_64,linearSVM,0.8237272316724372
MobileNetV2,KPCA_128,linearSVM,0.828115309348186
VGG16,none,rbfSVM,0.7720984494957097
VGG16,NMF_32,rbfSVM,0.6985097094686136
VGG16,NMF_64,rbfSVM,0.7056525666114707
VGG16,NMF_128,rbfSVM,0.7325380099352702
VGG16,KPCA_32,rbfSVM,0.73475989763661
VGG16,KPCA_64,rbfSVM,0.769349691404486
VGG16,KPCA_128,rbfSVM,0.7764805057955743
InceptionResNetV2,none,rbfSVM,0.7424552160168598
InceptionResNetV2,NMF_32,rbfSVM,0.6414120126448892
InceptionResNetV2,NMF_64,rbfSVM,0.6727096191479752
InceptionResNetV2,NMF_128,rbfSVM,0.7018139394851723
InceptionResNetV2,KPCA_32,rbfSVM,0.6567815745897938
InceptionResNetV2,KPCA_64,rbfSVM,0.688085202468764
InceptionResNetV2,KPCA_128,rbfSVM,0.7061899744091524
MobileNetV2,none,rbfSVM,0.8594159265392143
MobileNetV2,NMF_32,rbfSVM,0.8369155502032214
MobileNetV2,NMF_64,rbfSVM,0.8456917055547193
MobileNetV2,NMF_128,rbfSVM,0.8462456721360831
MobileNetV2,KPCA_32,rbfSVM,0.8396357067589945
MobileNetV2,KPCA_64,rbfSVM,0.8374650007526719
MobileNetV2,KPCA_128,rbfSVM,0.8341547493602288
